TEAM,FINAL CAP HIT ,LTIR USED ,FINAL CAP SPACE 
Anaheim Ducks,76957176,3957176,0
Arizona Coyotes,75286038,2286038,0
Boston Bruins,69972306,0,3027694
Buffalo Sabres,71677209,0,1322791
Calgary Flames,73824956,824956,0
Carolina Hurricanes,56792652,0,16207348
Chicago Blackhawks,72989072,0,10928
Colorado Avalanche,72090269,0,909731
Columbus Blue Jackets,71408979,0,1591021
Dallas Stars,70101967,0,2898033
Detroit Red Wings,78458260,5458260,0
Edmonton Oilers,68534176,0,4465824
Florida Panthers,64075585,0,8924415
Los Angeles Kings,72501361,0,498639
Minnesota Wild,72702142,48297,346155
Montreal Canadiens,72579037,49989,470952
Nashville Predators,69429301,0,3570699
New Jersey Devils,64006212,0,8993788
New York Islanders,71770356,0,1229644
New York Rangers,71752556,0,1247444
Ottawa Senators,69252320,0,3747680
Philadelphia Flyers,73546558,598173,51615
Pittsburgh Penguins,77649912,4649912,0
San Jose Sharks,73286670,455625,168955
St. Louis Blues,71891679,0,1108321
Tampa Bay Lightning,71604944,446114,1841170
Toronto Maple Leafs,72821399,63299,241900
Vancouver Canucks,71908430,34231,1125801
Washington Capitals,72967796,7286,39490
Winnipeg Jets,66630635,0,6369365
