"","Id","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","PoolArea","MoSold","YrSold","SalePrice"
"1",1,65,8450,7,5,2003,2003,150,856,856,854,1710,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,2,2008,208500
"2",2,80,9600,6,8,1976,1976,284,1262,1262,0,1262,0,1,2,0,3,1,6,1,1976,2,460,298,0,0,0,0,5,2007,181500
"3",3,68,11250,7,5,2001,2002,434,920,920,866,1786,1,0,2,1,3,1,6,1,2001,2,608,0,42,0,0,0,9,2008,223500
"4",4,60,9550,7,5,1915,1970,540,756,961,756,1717,1,0,1,0,3,1,7,1,1998,3,642,0,35,272,0,0,2,2006,140000
"5",5,84,14260,8,5,2000,2000,490,1145,1145,1053,2198,1,0,2,1,4,1,9,1,2000,3,836,192,84,0,0,0,12,2008,250000
"6",6,85,14115,5,5,1993,1995,64,796,796,566,1362,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,0,0,10,2009,143000
"7",7,75,10084,8,5,2004,2005,317,1686,1694,0,1694,1,0,2,0,3,1,7,1,2004,2,636,255,57,0,0,0,8,2007,307000
"8",8,NA,10382,7,6,1973,1973,216,1107,1107,983,2090,1,0,2,1,3,1,7,2,1973,2,484,235,204,228,0,0,11,2009,200000
"9",9,51,6120,7,5,1931,1950,952,952,1022,752,1774,0,0,2,0,2,2,8,2,1931,2,468,90,0,205,0,0,4,2008,129900
"10",10,50,7420,5,6,1939,1950,140,991,1077,0,1077,1,0,1,0,2,2,5,2,1939,1,205,0,4,0,0,0,1,2008,118000
"11",11,70,11200,5,5,1965,1965,134,1040,1040,0,1040,1,0,1,0,3,1,5,0,1965,1,384,0,0,0,0,0,2,2008,129500
"12",12,85,11924,9,5,2005,2006,177,1175,1182,1142,2324,1,0,3,0,4,1,11,2,2005,3,736,147,21,0,0,0,7,2006,345000
"13",13,NA,12968,5,6,1962,1962,175,912,912,0,912,1,0,1,0,2,1,4,0,1962,1,352,140,0,0,176,0,9,2008,144000
"14",14,91,10652,7,5,2006,2007,1494,1494,1494,0,1494,0,0,2,0,3,1,7,1,2006,3,840,160,33,0,0,0,8,2007,279500
"15",15,NA,10920,6,5,1960,1960,520,1253,1253,0,1253,1,0,1,1,2,1,5,1,1960,1,352,0,213,176,0,0,5,2008,157000
"16",16,51,6120,7,8,1929,2001,832,832,854,0,854,0,0,1,0,2,1,5,0,1991,2,576,48,112,0,0,0,7,2007,132000
"17",17,NA,11241,6,7,1970,1970,426,1004,1004,0,1004,1,0,1,0,2,1,5,1,1970,2,480,0,0,0,0,0,3,2010,149000
"18",18,72,10791,4,5,1967,1967,0,0,1296,0,1296,0,0,2,0,2,2,6,0,1967,2,516,0,0,0,0,0,10,2006,90000
"19",19,66,13695,5,5,2004,2004,468,1114,1114,0,1114,1,0,1,1,3,1,6,0,2004,2,576,0,102,0,0,0,6,2008,159000
"20",20,70,7560,5,6,1958,1965,525,1029,1339,0,1339,0,0,1,0,3,1,6,0,1958,1,294,0,0,0,0,0,5,2009,139000
